snippet,Nummer,Rechtswert,Hochwert,Tiefe [m],layer
"Depth: 0,25 m
Magnetic Moment: 0,030 Am²",916,46581.933,5956501.679,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 1,75 m
Magnetic Moment: 3,583 Am²",917,46551.323,5956570.934,1.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,070 Am²",918,46550.194,5956577.486,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,065 Am²",919,46548.17,5956623.742,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,312 Am²",920,46571.683,5956513.341,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,046 Am²",921,46562.183,5956514.007,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,167 Am²",922,46550.14,5956617.562,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 1,90 m
Magnetic Moment: 5,738 Am²",923,46561.744,5956594.392,1.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,030 Am²",924,46550.87,5956636.066,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,172 Am²",925,46571.953,5956602.617,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,086 Am²",926,46564.169,5956614.797,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,107 Am²",927,46573.421,5956698.574,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,116 Am²",928,46578.794,5956514.517,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,036 Am²",929,46598.301,5956699.744,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,048 Am²",930,46613.978,5956727.577,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,90 m
Magnetic Moment: 0,786 Am²",931,46542.675,5956595.529,0.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,290 Am²",932,46571.545,5956609.855,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,034 Am²",933,46569.261,5956623.215,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,263 Am²",934,46561.118,5956610.309,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,25 m
Magnetic Moment: 0,033 Am²",935,46613.362,5956634.71,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,146 Am²",936,46570.282,5956631.17,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,311 Am²",937,46631.731,5956722.187,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,136 Am²",938,46577.479,5956601.983,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,55 m
Magnetic Moment: 0,169 Am²",939,46576.051,5956595.023,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 1,25 m
Magnetic Moment: 1,393 Am²",940,46587.014,5956614.704,1.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,142 Am²",941,46555.633,5956641.597,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,098 Am²",942,46564.841,5956646.244,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,089 Am²",943,46571.941,5956586.862,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 1,85 m
Magnetic Moment: 4,636 Am²",944,46563.104,5956593.354,1.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,043 Am²",945,46597.673,5956653.643,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,107 Am²",946,46553.569,5956613.455,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,119 Am²",947,46557.617,5956528.745,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,115 Am²",948,46554.297,5956552.222,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,128 Am²",949,46591.911,5956693.515,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,80 m
Magnetic Moment: 0,291 Am²",950,46626.71,5956722.32,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,051 Am²",951,46574.01,5956501.991,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,048 Am²",952,46541.692,5956618.176,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,337 Am²",953,46588.629,5956677.271,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,260 Am²",954,46571.898,5956611.432,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 1,20 m
Magnetic Moment: 0,865 Am²",955,46595.459,5956695.337,1.2,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,069 Am²",956,46588.946,5956682.626,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,20 m
Magnetic Moment: 0,017 Am²",957,46573.657,5956565.554,0.2,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,239 Am²",958,46573.116,5956603.713,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,076 Am²",959,46573.968,5956634.942,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,092 Am²",960,46548.944,5956578.614,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,051 Am²",961,46549.21,5956613.675,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 1,05 m
Magnetic Moment: 0,646 Am²",962,46584.678,5956584.273,1.1,Stoerkoerper Magnetik Sued 2
"Depth: 1,85 m
Magnetic Moment: 6,692 Am²",963,46600.018,5956530.991,1.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,55 m
Magnetic Moment: 0,178 Am²",964,46580.787,5956556.509,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 1,00 m
Magnetic Moment: 0,641 Am²",965,46558.991,5956596.117,1,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,249 Am²",966,46545.284,5956617.326,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,90 m
Magnetic Moment: 0,481 Am²",967,46556.187,5956640.033,0.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,274 Am²",968,46606.728,5956568.651,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,261 Am²",969,46544.449,5956628.481,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 1,30 m
Magnetic Moment: 1,150 Am²",970,46562.256,5956645.538,1.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,050 Am²",971,46549.497,5956569.751,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,310 Am²",972,46570.875,5956525.299,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 3,30 m
Magnetic Moment: 21,869 Am²",973,46561.35,5956592.92,3.3,Stoerkoerper Magnetik Sued 2
"Depth: 1,20 m
Magnetic Moment: 1,333 Am²",974,46607.304,5956640.782,1.2,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,033 Am²",975,46554.028,5956584.868,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,076 Am²",976,46586.268,5956609.591,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,040 Am²",977,46596.842,5956662.231,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,074 Am²",978,46590.363,5956569.125,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 1,00 m
Magnetic Moment: 0,536 Am²",979,46565.656,5956599.45,1,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,032 Am²",980,46589.635,5956665.797,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,041 Am²",981,46558.707,5956572.334,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,061 Am²",982,46559.308,5956580.633,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 1,00 m
Magnetic Moment: 0,558 Am²",983,46561.464,5956630.563,1,Stoerkoerper Magnetik Sued 2
"Depth: 1,55 m
Magnetic Moment: 2,940 Am²",984,46602.126,5956738.287,1.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,354 Am²",985,46556.693,5956542.627,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,15 m
Magnetic Moment: 0,014 Am²",986,46545.678,5956609.938,0.2,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,175 Am²",987,46566.315,5956608.347,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,049 Am²",988,46547.622,5956615.993,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,035 Am²",989,46585.159,5956553.821,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 1,05 m
Magnetic Moment: 0,443 Am²",990,46581.994,5956566.913,1.1,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,025 Am²",991,46625.491,5956717.001,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,120 Am²",992,46597.891,5956713.728,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,191 Am²",993,46585.817,5956571.578,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,032 Am²",994,46586.167,5956549.143,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,90 m
Magnetic Moment: 0,314 Am²",995,46611.893,5956720.58,0.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,103 Am²",996,46545.059,5956587.899,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,071 Am²",997,46576.919,5956531.058,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 1,20 m
Magnetic Moment: 1,506 Am²",998,46561.799,5956592.876,1.2,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,038 Am²",999,46546.922,5956574.883,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,90 m
Magnetic Moment: 0,332 Am²",1000,46570.244,5956593.268,0.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,030 Am²",1001,46555.739,5956548.911,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,052 Am²",1002,46562.366,5956624.787,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,049 Am²",1003,46539.57,5956619.137,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,10 m
Magnetic Moment: 0,012 Am²",1004,46549.969,5956609.02,0.1,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,067 Am²",1005,46559.252,5956533.168,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,051 Am²",1006,46558.751,5956524.86,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 1,05 m
Magnetic Moment: 0,442 Am²",1007,46573.318,5956567.248,1.1,Stoerkoerper Magnetik Sued 2
"Depth: 0,25 m
Magnetic Moment: 0,019 Am²",1008,46580.376,5956543.913,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,138 Am²",1009,46612.452,5956721.684,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,150 Am²",1010,46601.919,5956599.118,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,054 Am²",1011,46554.761,5956610.168,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,171 Am²",1012,46561.364,5956590.452,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 1,10 m
Magnetic Moment: 0,484 Am²",1013,46576.149,5956607.498,1.1,Stoerkoerper Magnetik Sued 2
"Depth: 0,55 m
Magnetic Moment: 0,124 Am²",1014,46559.08,5956553.27,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,090 Am²",1015,46548.593,5956634.373,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,030 Am²",1016,46561.115,5956578.495,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,063 Am²",1017,46589.403,5956593.582,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,068 Am²",1018,46564.261,5956590.222,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,066 Am²",1019,46557.308,5956577.654,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,127 Am²",1020,46580.255,5956554.647,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,053 Am²",1021,46553.345,5956564.244,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,034 Am²",1022,46589.311,5956683.799,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 1,35 m
Magnetic Moment: 1,354 Am²",1023,46579.203,5956541.157,1.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,049 Am²",1024,46551.005,5956631.724,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,55 m
Magnetic Moment: 0,087 Am²",1025,46618.948,5956724.832,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,248 Am²",1026,46586.075,5956588.316,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,050 Am²",1027,46555.635,5956608.272,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,041 Am²",1028,46589.009,5956575.951,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,85 m
Magnetic Moment: 0,289 Am²",1029,46573.537,5956498.664,0.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,031 Am²",1030,46606.665,5956637.824,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,157 Am²",1031,46569.133,5956631.785,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,091 Am²",1032,46560.049,5956601.855,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,279 Am²",1033,46558.689,5956628.414,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 1,35 m
Magnetic Moment: 1,450 Am²",1034,46559.432,5956607.452,1.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,05 m
Magnetic Moment: 0,006 Am²",1035,46607.244,5956567.745,0.1,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,245 Am²",1036,46549.73,5956635.723,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,066 Am²",1037,46586.189,5956582.717,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 1,60 m
Magnetic Moment: 2,199 Am²",1038,46571.274,5956622.164,1.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,80 m
Magnetic Moment: 0,247 Am²",1039,46587.577,5956543.419,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,192 Am²",1040,46553.177,5956630.759,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,230 Am²",1041,46599.623,5956653.505,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,040 Am²",1042,46544.077,5956614.724,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,126 Am²",1043,46566.527,5956573.039,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,053 Am²",1044,46608.495,5956643.738,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,25 m
Magnetic Moment: 0,020 Am²",1045,46602.409,5956717.771,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,024 Am²",1046,46558.516,5956540.136,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,014 Am²",1047,46548.577,5956618.065,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,100 Am²",1048,46539.641,5956633.426,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,031 Am²",1049,46587.683,5956595.057,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,85 m
Magnetic Moment: 0,262 Am²",1050,46556.029,5956581.604,0.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,089 Am²",1051,46619.841,5956726.256,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,109 Am²",1052,46560.411,5956550.373,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,024 Am²",1053,46555.397,5956546.931,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,068 Am²",1054,46557.963,5956617.259,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,134 Am²",1055,46591.472,5956593.634,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,051 Am²",1056,46581.093,5956578.427,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,081 Am²",1057,46562.541,5956590.136,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,090 Am²",1058,46561.914,5956613.857,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,017 Am²",1059,46551.617,5956594.816,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,042 Am²",1060,46570.816,5956599.707,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,117 Am²",1061,46543.676,5956604.846,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,147 Am²",1062,46543.872,5956602.713,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,00 m
Magnetic Moment: 0,011 Am²",1063,46570.419,5956514.319,0.1,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,052 Am²",1064,46554.933,5956561.926,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,022 Am²",1065,46544.802,5956625.88,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,288 Am²",1066,46543.574,5956587.64,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,046 Am²",1067,46586.715,5956604.312,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,080 Am²",1068,46558.444,5956536.266,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,038 Am²",1069,46560.317,5956536.891,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 1,20 m
Magnetic Moment: 0,620 Am²",1070,46560.219,5956555.677,1.2,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,109 Am²",1071,46558.836,5956569.503,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,15 m
Magnetic Moment: 0,005 Am²",1072,46626.847,5956715.41,0.2,Stoerkoerper Magnetik Sued 2
"Depth: 1,45 m
Magnetic Moment: 0,978 Am²",1073,46549.872,5956635.106,1.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,114 Am²",1074,46550.694,5956602.457,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,058 Am²",1075,46563.019,5956603.934,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,043 Am²",1076,46573.343,5956707.139,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,036 Am²",1077,46585.44,5956566.63,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,071 Am²",1078,46567.591,5956583.004,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,65 m
Magnetic Moment: 0,088 Am²",1079,46566.375,5956611.06,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,085 Am²",1080,46568.396,5956601.753,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,60 m
Magnetic Moment: 0,099 Am²",1081,46557.148,5956583.811,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 1,10 m
Magnetic Moment: 0,425 Am²",1082,46597.302,5956599.262,1.1,Stoerkoerper Magnetik Sued 2
"Depth: 2,05 m
Magnetic Moment: 3,768 Am²",1083,46595.484,5956598.683,2.1,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 0,046 Am²",1084,46562.726,5956613.929,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,90 m
Magnetic Moment: 0,248 Am²",1085,46551.596,5956581.579,0.9,Stoerkoerper Magnetik Sued 2
"Depth: 1,20 m
Magnetic Moment: 0,612 Am²",1086,46555.918,5956632.558,1.2,Stoerkoerper Magnetik Sued 2
"Depth: 1,20 m
Magnetic Moment: 1,424 Am²",1087,46577.688,5956497.86,1.2,Stoerkoerper Magnetik Sued 2
"Depth: 1,45 m
Magnetic Moment: 8,764 Am²",1088,46577.426,5956504.531,1.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,55 m
Magnetic Moment: 0,132 Am²",1089,46569.8,5956511.56,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,147 Am²",1090,46574.321,5956516.157,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,056 Am²",1091,46578.711,5956521.472,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 4,15 m
Magnetic Moment: 148,103 Am²",1092,46583.647,5956512.638,4.2,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,033 Am²",1093,46589.23,5956505.303,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,95 m
Magnetic Moment: 0,761 Am²",1094,46586.541,5956732.242,1,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,026 Am²",1095,46609.057,5956726.14,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,220 Am²",1096,46614.339,5956734.439,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,55 m
Magnetic Moment: 0,316 Am²",1097,46592.303,5956674.65,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,80 m
Magnetic Moment: 5,489 Am²",1098,46588.894,5956671.154,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,159 Am²",1099,46600.504,5956668.874,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,367 Am²",1100,46613.519,5956659.26,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,015 Am²",1101,46603.329,5956654.355,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,42 m
Magnetic Moment: 0,049 Am²",1102,46608.049,5956649.016,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 1,00 m
Magnetic Moment: 0,286 Am²",1103,46600.219,5956645.091,1,Stoerkoerper Magnetik Sued 2
"Depth: 0,45 m
Magnetic Moment: 1,112 Am²",1104,46611.697,5956629.988,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,078 Am²",1105,46616.343,5956625.965,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,90 m
Magnetic Moment: 0,627 Am²",1106,46612.664,5956613.937,0.9,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,048 Am²",1107,46608.71,5956604.805,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,306 Am²",1108,46607.765,5956602.832,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 1,40 m
Magnetic Moment: 0,940 Am²",1109,46600.103,5956603.774,1.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,40 m
Magnetic Moment: 0,437 Am²",1110,46592.943,5956602.603,0.4,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 0,178 Am²",1111,46595.964,5956604.174,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 0,390 Am²",1112,46605.302,5956592.448,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,114 Am²",1113,46587.214,5956571.443,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 2,792 Am²",1114,46586.212,5956559.508,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,50 m
Magnetic Moment: 0,147 Am²",1115,46586.553,5956557.311,0.5,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,029 Am²",1116,46586.688,5956551.408,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,10 m
Magnetic Moment: 0,014 Am²",1117,46582.9,5956525.748,0.1,Stoerkoerper Magnetik Sued 2
"Depth: 1,20 m
Magnetic Moment: 11,404 Am²",1118,46580.98,5956525.682,1.2,Stoerkoerper Magnetik Sued 2
"Depth: 0,05 m
Magnetic Moment: 0,017 Am²",1119,46572.565,5956515.169,0.1,Stoerkoerper Magnetik Sued 2
"Depth: 0,70 m
Magnetic Moment: 1,290 Am²",1120,46552.431,5956549.583,0.7,Stoerkoerper Magnetik Sued 2
"Depth: 0,30 m
Magnetic Moment: 0,025 Am²",1121,46558.58,5956564.242,0.3,Stoerkoerper Magnetik Sued 2
"Depth: 0,55 m
Magnetic Moment: 0,102 Am²",1122,46564.469,5956565.284,0.6,Stoerkoerper Magnetik Sued 2
"Depth: 0,75 m
Magnetic Moment: 2,843 Am²",1123,46548.564,5956568.431,0.8,Stoerkoerper Magnetik Sued 2
"Depth: 0,35 m
Magnetic Moment: 0,028 Am²",1124,46552.207,5956574.875,0.4,Stoerkoerper Magnetik Sued 2
